location,cause_of_death,est_le_diff_vs_actual_women,est_le_diff_vs_actual_men,est_le_diff_vs_actual_aggregate
Nepal,Neoplasms,1.597,1.518,1.556219642
Nepal,Nutritional deficiencies,0.129,0.076,0.101641026
Nepal,Road injuries,0.138,0.291,0.216979681
Nepal,Smoking,2.039,2.926,2.496875665
Nepal,Substance use disorders,0.004,0.037,0.021034833
Nepal,Tobacco,2.345,3.24,2.807005322
Nepal,"Tracheal, bronchus, and lung cancer",0.083,0.151,0.11810208
Nepal,Tuberculosis,0.369,0.694,0.536767296
Nepal,"Unsafe water, sanitation, and handwashing",0.617,0.312,0.459556846
Pakistan,Alcohol use,0.087,0.337,0.216051766
Pakistan,PM2.5 relative to WHO,1.09,1.58,3.84
Pakistan,Cardiovascular diseases,5.36,5.37,5.365162071
Pakistan,Child and maternal malnutrition,3.032,3.027,3.029418965
Pakistan,Conflict and terrorism,0.003,0.008,0.005581035
Pakistan,Dengue,0.014,0.015,0.014516207
Pakistan,Diabetes mellitus,0.701,0.48,0.586918239
Pakistan,Diarrheal diseases,0.968,0.786,0.874050314
Pakistan,Dietary risks,2.145,2.575,2.366969037
Pakistan,Drug use,0.079,0.124,0.102229318
Pakistan,HIV/AIDS,0.034,0.056,0.045356555
Pakistan,Household air pollution from solid fuels,1.339,1.381,1.360680697
Pakistan,Low birth weight and short gestation,2.144,2.398,2.275116594
Pakistan,Lower respiratory infections,0.701,0.745,0.723713111
Pakistan,Malaria,0.045,0.041,0.042935172
Pakistan,Maternal and neonatal disorders,0.382,0,0.184808902
Pakistan,Maternal disorders,0.382,0,0.184808902
Pakistan,Neonatal disorders,2.398,2.757,2.583318336
Pakistan,Neoplasms,2.553,2.06,2.298509918
Pakistan,Nutritional deficiencies,0.202,0.12,0.159671021
Pakistan,Road injuries,0.219,0.221,0.220032414
Pakistan,Smoking,0.441,2.995,1.75939284
Pakistan,Substance use disorders,0.006,0.062,0.034907596
Pakistan,Tobacco,0.905,3.338,2.160931785
Pakistan,"Tracheal, bronchus, and lung cancer",0.079,0.345,0.216311079
Pakistan,Tuberculosis,0.644,0.821,0.73536865
Pakistan,"Unsafe water, sanitation, and handwashing",0.982,0.821,0.898890663
