name_1,tot_pop,avg_pm2.5_2021,le_gain,llpp_who_2021,llpp_nat_2021,lyl_bucket,order_lyl_bucket
Punjab,122906145,51.447667698388884,4.551871434442111,4.552042671259439,3.5720426712594393,4 to < 5,7
Sindh,54831896,37.94407443032792,3.228519294172137,3.228528281969312,2.248528281969312,3 to < 4,6
Khyber Pakhtunkhwa,39666061,42.709894490405794,3.695569660059768,3.6959558696791195,2.7165561501052498,3 to < 4,6
Balochistan,11010270,17.964542871337397,1.2705252013910648,1.2711610732525178,0.36890140750408484,1 to < 2,4
Azad Kashmir,5538247,33.99326509453262,2.8413399792641965,2.841598366775624,1.861598366775624,2 to < 3,5
Islamabad,2930804,50.97,4.50506,4.51,3.53,4 to < 5,7
Gilgit Baltistan,1156361,12.745222642410113,0.7590318189561911,0.7572608467424965,0.0867368235352109,0.5 to < 1,3
