name_1,year,pm2.5_pollution,order_var
Himachal Pradesh,2016,33.343510309334654,1
Himachal Pradesh,2020,28.255345668851003,1
Jammu and Kashmir,2016,38.612494383773544,2
Jammu and Kashmir,2020,28.654777369790015,2
NCT of Delhi,2016,114.33,5
NCT of Delhi,2020,107.60463,5
Punjab,2016,72.11584864489272,4
Punjab,2020,65.64888940560738,4
Uttarakhand,2016,44.0126702523629,3
Uttarakhand,2020,37.88479591537539,3
