objectid_color,iso_alpha3,country,name_1,name_2,population,whostandard,natstandard,dir_rel_to_toc,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,llpp_who5_1998,llpp_who5_1999,llpp_who5_2000,llpp_who5_2001,llpp_who5_2002,llpp_who5_2003,llpp_who5_2004,llpp_who5_2005,llpp_who5_2006,llpp_who5_2007,llpp_who5_2008,llpp_who5_2009,llpp_who5_2010,llpp_who5_2011,llpp_who5_2012,llpp_who5_2013,llpp_who5_2014,llpp_who5_2015,llpp_who5_2016,llpp_who5_2017,llpp_who5_2018,llpp_who5_2019,llpp_who5_2020,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020
17072,IND,India,Chhattisgarh,Kondagaon,564808,5,40,SouthTOC,26.139999,25.24,25.33,31.65,30.870001,34.240002,34.91,35.68,35.860001,38.189999,38.490002,36.779999,37.84,39.689999,35.060001,39.150002,36.68,41.380001,38.57,37.18,37.889999,36.02,42.277695,2.0699999,1.98,1.99,2.6099999,2.54,2.8699999,2.9300001,3.01,3.02,3.25,3.28,3.1099999,3.22,3.4000001,2.95,3.3499999,3.0999999,3.5699999,3.29,3.1500001,3.22,3.04,3.653214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0.0099999998,0,0.15000001,0.0099999998,0,0,0,0.23763327
17073,IND,India,Chhattisgarh,Korba,1352939,5,40,SouthTOC,32.959999,33.02,32.419998,37.619999,37.200001,36.759998,39.720001,39.25,41.040001,45.25,48.189999,49.029999,45.09,51.68,46.439999,52.880001,51.240002,49.950001,49.869999,50.439999,48.759998,51,52.806633,2.74,2.75,2.6900001,3.2,3.1600001,3.1099999,3.4000001,3.3599999,3.53,3.9400001,4.23,4.3200002,3.9300001,4.5799999,4.0599999,4.6900001,4.5300002,4.4000001,4.4000001,4.4499998,4.29,4.5100002,4.68505,0,0,0,0.02,0.0099999998,0,0.090000004,0.079999998,0.18000001,0.51999998,0.80000001,0.88999999,0.51999998,1.15,0.63999999,1.26,1.1,0.97000003,0.97000003,1.02,0.86000001,1.08,1.255205
17074,IND,India,Chhattisgarh,Koriya,729296,5,40,NorthTOC,23.6,24.16,23.92,29.67,29.309999,33.029999,33.16,32.52,33.599998,38.119999,41.18,39.66,37,43.32,38.98,43.700001,40.830002,40.650002,40.560001,40.689999,37.34,42.549999,41.666088,1.8200001,1.88,1.85,2.4200001,2.3800001,2.75,2.76,2.7,2.8,3.25,3.55,3.4000001,3.1400001,3.76,3.3299999,3.79,3.51,3.49,3.49,3.5,3.1700001,3.6800001,3.5932765,0,0,0,0,0,0,0,0,0,0.029999999,0.20999999,0.11,0,0.37,0.079999998,0.41999999,0.2,0.18000001,0.17,0.17,0.0099999998,0.28999999,0.25529891
17075,IND,India,Chhattisgarh,Mahasamund,1166618,5,40,SouthTOC,41.400002,40.330002,36.099998,42.75,42.810001,44.650002,48.029999,46.23,49.360001,52.990002,56.459999,54.529999,52.459999,59.189999,51.849998,57.639999,57.029999,57.84,57.360001,55.650002,56.849998,57.029999,66.097305,3.5699999,3.46,3.05,3.7,3.71,3.8900001,4.2199998,4.04,4.3499999,4.6999998,5.04,4.8499999,4.6500001,5.3099999,4.5900002,5.1599998,5.0999999,5.1799998,5.1300001,4.96,5.0799999,5.0999999,5.9875355,0.20999999,0.14,0.02,0.31999999,0.30000001,0.47999999,0.79000002,0.62,0.92000002,1.27,1.61,1.42,1.22,1.88,1.16,1.73,1.67,1.75,1.7,1.53,1.65,1.67,2.5575356
17076,IND,India,Chhattisgarh,Mungeli,806902,5,40,SouthTOC,36.18,37.599998,37.299999,43.34,45.07,45.540001,48.060001,45.360001,48.529999,53.169998,54.849998,56.209999,51.380001,58,52.150002,57.580002,56.689999,57.43,58.740002,60.490002,60.77,64.209999,67.818375,3.0599999,3.2,3.1600001,3.76,3.9300001,3.97,4.2199998,3.96,4.27,4.7199998,4.8899999,5.02,4.54,5.1900001,4.6199999,5.1500001,5.0700002,5.1399999,5.27,5.4400001,5.4699998,5.8000002,6.1562004,0.039999999,0.07,0.02,0.38999999,0.52999997,0.56999999,0.80000001,0.55000001,0.83999997,1.29,1.46,1.59,1.12,1.76,1.2,1.72,1.64,1.71,1.84,2.01,2.04,2.3699999,2.7264376
17077,IND,India,Chhattisgarh,Narayanpur,135016,5,40,SouthTOC,24.030001,23.440001,24.57,29.809999,29.299999,32.220001,33.529999,34.75,34.220001,36.66,37.380001,35.740002,36.290001,38.349998,33.189999,36.73,35.900002,39.310001,37.200001,36.630001,37.060001,35.560001,40.520264,1.87,1.8099999,1.92,2.4300001,2.3800001,2.6700001,2.8,2.9200001,2.8599999,3.0999999,3.1700001,3.01,3.0699999,3.27,2.76,3.1099999,3.03,3.3599999,3.1600001,3.0999999,3.1400001,3,3.4809856,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0.029999999,0,0,0,0.090000004,0,0,0,0,0.15683623
17078,IND,India,Chhattisgarh,Raigarh,1674962,5,40,SouthTOC,33.259998,32.950001,30.719999,36.549999,37.540001,37.919998,41.720001,40.09,42.310001,46.59,50.119999,50.400002,46.049999,54.560001,47.470001,54.5,54.68,52.66,53.830002,52.310001,52.32,53.75,59.500351,2.77,2.74,2.52,3.0899999,3.1900001,3.23,3.5999999,3.4400001,3.6600001,4.0799999,4.4200001,4.4499998,4.02,4.8600001,4.1599998,4.8499999,4.8699999,4.6700001,4.79,4.6399999,4.6399999,4.7800002,5.3410344,0,0,0,0,0,0.0099999998,0.25,0.12,0.28999999,0.64999998,0.99000001,1.02,0.61000001,1.4299999,0.74000001,1.42,1.4400001,1.24,1.36,1.21,1.21,1.35,1.9119954
17079,IND,India,Chhattisgarh,Raipur,2522522,5,40,SouthTOC,50.439999,51.869999,48.560001,58.73,56.259998,58.619999,61.740002,62.34,64.199997,70.669998,72.160004,70.25,70.25,75.959999,69.080002,75.07,72.57,73.309998,76.190002,71.620003,73.480003,75.260002,85.700752,4.4499998,4.5900002,4.27,5.27,5.02,5.25,5.5599999,5.6199999,5.8000002,6.4400001,6.5799999,6.3899999,6.3899999,6.9499998,6.2800002,6.8699999,6.6199999,6.6900001,6.98,6.5300002,6.71,6.8899999,7.9086738,1.02,1.16,0.85000002,1.84,1.59,1.8200001,2.1300001,2.1900001,2.3699999,3.01,3.1500001,2.96,2.96,3.52,2.8499999,3.4400001,3.1900001,3.26,3.55,3.0999999,3.28,3.46,4.4786735
17080,IND,India,Chhattisgarh,Rajnandgaon,1699391,5,40,SouthTOC,34.939999,36.779999,34.599998,41.68,41.040001,45.580002,46.18,46.650002,48.869999,53.32,54.700001,51.630001,52.189999,56.91,50.349998,55.880001,55.889999,57.360001,56.349998,57.349998,56.330002,61.5,65.349724,2.9300001,3.1099999,2.9000001,3.5899999,3.53,3.98,4.04,4.0799999,4.3000002,4.7399998,4.8699999,4.5700002,4.6199999,5.0900002,4.4400001,4.9899998,4.9899998,5.1300001,5.0300002,5.1300001,5.0300002,5.54,5.9142733,0.029999999,0.090000004,0.029999999,0.30000001,0.28999999,0.58999997,0.63,0.67000002,0.88,1.3099999,1.4400001,1.14,1.2,1.66,1.04,1.5599999,1.5599999,1.7,1.6,1.7,1.6,2.1099999,2.4842732
17081,IND,India,Chhattisgarh,Sukma,308720,5,40,SouthTOC,16.07,18.809999,18.969999,22.9,22.02,24.1,24.65,26.33,26.26,28.860001,29.290001,29.26,28.360001,31.290001,28.33,30.49,31.450001,31.309999,30.48,29.51,31.610001,29.469999,31.930777,1.08,1.35,1.37,1.75,1.67,1.87,1.9299999,2.0899999,2.0799999,2.3399999,2.3800001,2.3800001,2.29,2.5799999,2.29,2.5,2.5899999,2.5799999,2.5,2.4000001,2.6099999,2.4000001,2.6392162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
