City,State,City (Census 2011) Population,2017 PM2.5 Concentrations (µg/m³),2017 PM2.5 Concentrations (after 40% reduction),Life Expectancy Gains (in years) from a 40% reduction
Kashipur,Uttarakhand,121623,46.8,28.1,1.8
Khurja,Uttar Pradesh,111062,88.4,53,3.5
Rishikesh,Uttarakhand,102138,42.7,25.6,1.7
Kohima,Nagaland,99039,24,14.4,0.9
Gobindgarh,Punjab,82266,67.1,40.3,2.6
*Sangareddy,Telangana,72344,33.1,19.9,1.3
Gajraula,Uttar Pradesh,55048,64,38.4,2.5
Sibsagar,Assam,50781,24.9,14.9,1
*Kalinga Nagar,Odisha,49415,42.8,25.7,1.7
Naya Nangal,Punjab,48497,47.3,28.4,1.9
Angul,Odisha,44390,45.9,27.5,1.8
Talcher,Odisha,40841,45.9,27.5,1.8
Baddi,Himachal Pradesh,29911,32.3,19.4,1.3
Kala Amb,Himachal Pradesh,29425,34.7,20.8,1.4
Nalbari,Assam,27839,35,21,1.4
Dera Bassi,Chandigarh,26295,44.6,26.8,1.7
Paonta Sahib,Himachal Pradesh,25183,34.7,20.8,1.4
Sunder Nagar,Himachal Pradesh,24344,25.3,15.2,1
Anpara,Uttar Pradesh,17978,42.5,25.5,1.7
Nalagarh,Himachal Pradesh,10708,32.3,19.4,1.3
Parwanoo,Himachal Pradesh,8758,32.3,19.4,1.3
Damtal,Himachal Pradesh,3682,27.4,16.4,1.1
Byrnihat,Meghalaya,298,31.5,18.9,1.2
