location,cause_of_death,est_le_diff_vs_actual_women,est_le_diff_vs_actual_men,est_le_diff_vs_actual_aggregate
India,PM2.5 relative to WHO,1.375,1.748,4.98
India,Child and maternal malnutrition,1.927,1.718,1.819112724
India,Dietary risks,1.502,2.046,1.782816642
India,Smoking,0.482,2.509,1.528351717
India,Low birth weight and short gestation,1.404,1.417,1.410710692
India,Neonatal disorders,1.345,1.356,1.350678278
