Country,PM2.5 concentration 2022 (in µg/m³),National Standard (in µg/m³),Life Expectancy Gains (in years) from reducing PM2.5 from 2022 Concentrations to the WHO Guideline of 5 µg/m³,Life Expectancy Gains (in years) from reducing PM2.5 from 2022 Concentrations to the National Standard
Christmas Island,2.9,*,0,*
Cocos Islands,1.7,*,0,*
Cook Islands,1.1,*,0,*
Fiji,3.2,*,0,*
French Polynesia,1.5,*,0,*
Guam,1.2,9,0,*
Heard Island and McDonald Island,*,*,*,*
Kiribati,0.9,*,0,*
Marshall Islands,1,*,0,*
Micronesia,0.9,*,0,*
Nauru,1.2,*,0,*
New Caledonia,4.3,*,0,*
New Zealand,3.7,10,0,*
Niue,1.2,*,0,*
Norfolk Island,1.6,*,0,*
Northern Mariana Islands,1.1,9,0,*
Palau,2.4,12,0,*
Papua New Guinea,14.5,*,0.9,*
Samoa,1.7,*,0,*
Solomon Islands,7,*,0.2,*
Tokelau,1.6,*,0,*
Tonga,2,*,0,*
Tuvalu,1.5,*,0,*
United States Minor Outlying Islands,3.2,*,0,*
Vanuatu,5.1,*,0,*
Wallis and Futuna,1.8,*,0,*
Argentina,12.5,*,0.7,*
Bolivia,29.6,*,2.4,*
Brazil,12.1,10,0.7,0.2058
Chile,22.8,20,1.7,0.2744
Colombia,16.2,20,1.1,*
Ecuador,18.3,15,1.3,0.3234
Falkland Islands,2.6,*,0,*
French Guiana,5.5,*,0,*
Guyana,7.2,*,0.2,*
Paraguay,13.2,15,0.8,*
Peru,25.5,25,2,0.049
Pitcairn Islands,2.5,*,0,*
South Georgia and the South Sand,*,*,*,*
Suriname,6.1,*,0.1,*
Uruguay,9.1,*,0.4,*
Venezuela,12,*,0.7,*
