name_1,year,pm2.5_pollution,order_var
Himachal Pradesh,2016,33.343510309334654,a
Himachal Pradesh,2017,28.749362436294792,a
Himachal Pradesh,2018,28.73648889962787,a
Himachal Pradesh,2019,27.21125608459051,a
Himachal Pradesh,2020,28.255345668851003,a
Jammu and Kashmir,2016,38.612494383773544,b
Jammu and Kashmir,2017,30.733196668250084,b
Jammu and Kashmir,2018,28.487375004520526,b
Jammu and Kashmir,2019,28.80180675562536,b
Jammu and Kashmir,2020,28.654777369790015,b
NCT of Delhi,2016,114.33,e
NCT of Delhi,2017,109.34,e
NCT of Delhi,2018,112.67,e
NCT of Delhi,2019,114.47,e
NCT of Delhi,2020,107.60463,e
Punjab,2016,72.11584864489272,d
Punjab,2017,62.888632132000225,d
Punjab,2018,64.67251786339149,d
Punjab,2019,62.956770945504964,d
Punjab,2020,65.64888940560738,d
Uttarakhand,2016,44.0126702523629,c
Uttarakhand,2017,39.671658116247436,c
Uttarakhand,2018,40.989177554769896,c
Uttarakhand,2019,37.30662934355467,c
Uttarakhand,2020,37.88479591537539,c
