name_1,tot_pop,avg_pm2.5_2020,le_gain
Guangdong,109029544,21.00230510208323,1.5682259000041567
Shandong,99791167,43.67986967159356,3.790627227816169
Henan,97924631,45.41502291165226,3.9606722453419216
Sichuan,84063113,29.0809681126694,2.3599348750416014
Jiangsu,81796864,36.114620988695506,3.04923285689216
Hebei,74760915,45.371277746137494,3.956385219121475
Hunan,68503761,31.003049698583965,2.548298870461229
Anhui,62287458,37.81041507625121,3.215420677472619
Hubei,59705142,33.98727027274656,2.8407524867291625
Zhejiang,56670960,25.475413016130396,2.006590475580779
