level,id,name0,name1,name,population,pm2023,pm2022,pm2021,pm2020,pm2019,pm2018,pm2017,pm2016,pm2015,pm2014,pm2013,pm2012,pm2011,pm2010,pm2009,pm2008,pm2007,pm2006,pm2005,pm2004,pm2003,pm2002,pm2001,pm2000,pm1999,pm1998,who2023,who2022,who2021,who2020,who2019,who2018,who2017,who2016,who2015,who2014,who2013,who2012,who2011,who2010,who2009,who2008,who2007,who2006,who2005,who2004,who2003,who2002,who2001,who2000,who1999,who1998,nat2023,nat2022,nat2021,nat2020,nat2019,nat2018,nat2017,nat2016,nat2015,nat2014,nat2013,nat2012,nat2011,nat2010,nat2009,nat2008,nat2007,nat2006,nat2005,nat2004,nat2003,nat2002,nat2001,nat2000,nat1999,nat1998
2,17554,India,Karnataka,Gadag,1210466,19.26,19.81,20.32,21.36,19.05,20.47,20.96,19.88,19.98,21.68,17.85,18.37,19.84,20.2,21.04,18.49,19.19,16.78,17.51,14.33,15.1,15.04,14.35,13.67,10.37,9.26,1.4,1.5,1.5,1.6,1.4,1.5,1.6,1.5,1.5,1.6,1.3,1.3,1.5,1.5,1.6,1.3,1.4,1.2,1.2,0.9,1,1,0.9,0.8,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17648,India,Maharashtra,Gadchiroli,1219661,33.31,31.62,37.98,35.69,34.21,34.16,32.95,34.96,35.12,34.06,33.73,28.9,33.41,30.13,31.05,32.54,30.19,27.62,26.55,26.49,24.42,22.56,23.74,21.37,18.9,16.65,2.8,2.6,3.2,3,2.9,2.9,2.7,2.9,3,2.8,2.8,2.3,2.8,2.5,2.6,2.7,2.5,2.2,2.1,2.1,1.9,1.7,1.8,1.6,1.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17723,India,Odisha,Gajapati,680436,28.08,21.98,26.27,25.86,27.01,28.06,26.52,24.72,25.32,26.97,23.26,23.43,25.92,21.31,25.48,25.89,22.7,21.49,20.13,18.78,17.42,17.45,17.72,15.26,12.98,11.98,2.3,1.7,2.1,2,2.2,2.3,2.1,1.9,2,2.2,1.8,1.8,2.1,1.6,2,2,1.7,1.6,1.5,1.4,1.2,1.2,1.2,1,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17502,India,Jammu and Kashmir,Ganderbal,652870,15.71,14.37,18.86,17.71,16.82,16.46,16.15,17.88,16,16.35,16.73,15.67,16.27,15.94,14,15.36,15.21,13.88,13.36,13.33,13.84,13.93,14.93,14.98,11.9,11.65,1,0.9,1.4,1.2,1.2,1.1,1.1,1.3,1.1,1.1,1.1,1,1.1,1.1,0.9,1,1,0.9,0.8,0.8,0.9,0.9,1,1,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17442,India,Gujarat,Gandhinagar,1362975,30.55,27.2,33.03,32.14,33.23,36.29,36.25,34.42,35.79,32.99,31.22,28.75,29.51,30.67,27.09,29.87,28.02,28.46,27.75,25.49,25.43,22.54,24.11,22.62,22.15,21.54,2.5,2.2,2.7,2.7,2.8,3.1,3.1,2.9,3,2.7,2.6,2.3,2.4,2.5,2.2,2.4,2.3,2.3,2.2,2,2,1.7,1.9,1.7,1.7,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17784,India,Rajasthan,Ganganagar,2501131,44.83,37.1,41.88,40.57,40.36,38.79,41.34,40.39,50.84,38.05,37.2,36.03,38.97,41.77,38.69,35.53,40.97,40.89,36.14,32.26,34.12,30.58,29.99,27.18,24.18,23.93,3.9,3.1,3.6,3.5,3.5,3.3,3.6,3.5,4.5,3.2,3.2,3,3.3,3.6,3.3,3,3.5,3.5,3.1,2.7,2.9,2.5,2.4,2.2,1.9,1.9,0.5,0,0.2,0.1,0,0,0.1,0,1.1,0,0,0,0,0.2,0,0,0.1,0.1,0,0,0,0,0,0,0,0
2,17724,India,Odisha,Ganjam,3976192,32.69,25.51,30.45,30.35,31.79,32.75,32.02,27.85,29.2,31.74,27.22,27.02,30.01,24.96,28.93,29.23,25.24,23.67,22.34,20.92,19.74,19.48,19.17,16.79,15.42,14.24,2.7,2,2.5,2.5,2.6,2.7,2.6,2.2,2.4,2.6,2.2,2.2,2.5,2,2.3,2.4,2,1.8,1.7,1.6,1.4,1.4,1.4,1.2,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17522,India,Jharkhand,Garhwa,1570431,32.92,36.82,39.28,37.04,40.3,36.02,39.2,42.19,37.77,35.8,37.71,34.93,38.95,33.44,34.68,38.95,32.81,28.78,27.1,29.11,29.11,26.07,25.37,23.23,22.09,20.23,2.7,3.1,3.4,3.1,3.5,3,3.4,3.6,3.2,3,3.2,2.9,3.3,2.8,2.9,3.3,2.7,2.3,2.2,2.4,2.4,2.1,2,1.8,1.7,1.5,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17408,India,Chhattisgarh,Gariaband,611422,42.8,38.65,45.1,44.07,42.13,44.12,42.53,42.44,42.79,40.46,42.16,36.13,41.54,37.04,37.6,39.54,37.22,33.3,34.15,32.48,31.75,30.63,31.25,26.89,22.5,22.62,3.7,3.3,3.9,3.8,3.6,3.8,3.7,3.7,3.7,3.5,3.6,3.1,3.6,3.1,3.2,3.4,3.2,2.8,2.9,2.7,2.6,2.5,2.6,2.1,1.7,1.7,0.3,0,0.5,0.4,0.2,0.4,0.2,0.2,0.3,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17908,India,Uttar Pradesh,Gautam Buddha Nagar,2704064,83.87,81.78,87.88,80.82,89.15,96.65,98.17,104,99.76,83.09,89.74,84.47,101.16,97.3,76.87,82.76,74.36,66.51,71.67,70.04,76.98,65.97,64.64,59.19,53.95,54.67,7.7,7.5,8.1,7.4,8.2,9,9.1,9.7,9.3,7.7,8.3,7.8,9.4,9,7,7.6,6.8,6,6.5,6.4,7.1,6,5.8,5.3,4.8,4.9,4.3,4.1,4.7,4,4.8,5.6,5.7,6.3,5.9,4.2,4.9,4.4,6,5.6,3.6,4.2,3.4,2.6,3.1,2.9,3.6,2.5,2.4,1.9,1.4,1.4
2,17368,India,Bihar,Gaya,5285234,46.9,47.85,49.18,49.22,55.27,56.76,59.08,61.19,52.35,52.75,52.79,51.11,55.94,47.7,48.02,53.69,44.22,40.84,37.03,39.79,39.26,37.53,37.7,34.58,32.98,31.59,4.1,4.2,4.3,4.3,4.9,5.1,5.3,5.5,4.6,4.7,4.7,4.5,5,4.2,4.2,4.8,3.8,3.5,3.1,3.4,3.4,3.2,3.2,2.9,2.7,2.6,0.7,0.8,0.9,0.9,1.5,1.6,1.9,2.1,1.2,1.2,1.3,1.1,1.6,0.8,0.8,1.3,0.4,0.1,0,0,0,0,0,0,0,0
2,17909,India,Uttar Pradesh,Ghaziabad,4043561,83.24,79.75,85.72,79.3,86.67,94.73,97.25,102.28,98.07,81.71,89.66,83.15,100.88,96.87,77.55,83.39,74.15,65.88,71.47,70.69,77.52,66.42,64.54,59.68,52.72,53.58,7.7,7.3,7.9,7.3,8,8.8,9,9.5,9.1,7.5,8.3,7.7,9.4,9,7.1,7.7,6.8,6,6.5,6.4,7.1,6,5.8,5.4,4.7,4.8,4.2,3.9,4.5,3.9,4.6,5.4,5.6,6.1,5.7,4.1,4.9,4.2,6,5.6,3.7,4.3,3.3,2.5,3.1,3,3.7,2.6,2.4,1.9,1.2,1.3
