"","level","id","name0","name1","name","population","pm2023","pm2022","pm2021","pm2020","pm2019","pm2018","pm2017","pm2016","pm2015","pm2014","pm2013","pm2012","pm2011","pm2010","pm2009","pm2008","pm2007","pm2006","pm2005","pm2004","pm2003","pm2002","pm2001","pm2000","pm1999","pm1998","who2023","who2022","who2021","who2020","who2019","who2018","who2017","who2016","who2015","who2014","who2013","who2012","who2011","who2010","who2009","who2008","who2007","who2006","who2005","who2004","who2003","who2002","who2001","who2000","who1999","who1998","nat2023","nat2022","nat2021","nat2020","nat2019","nat2018","nat2017","nat2016","nat2015","nat2014","nat2013","nat2012","nat2011","nat2010","nat2009","nat2008","nat2007","nat2006","nat2005","nat2004","nat2003","nat2002","nat2001","nat2000","nat1999","nat1998"
"131",2,17925,"India","Uttar Pradesh","Kushinagar",4179611,59.98,63.54,67.35,65.53,66.35,75.18,73.15,79.29,73.72,66.33,69.28,72.76,74.51,67.41,69.68,67.96,66.25,64.58,57.09,54.85,52.88,50.85,57.55,49.22,37.83,37.79,5.4,5.7,6.1,5.9,6,6.9,6.7,7.3,6.7,6,6.3,6.6,6.8,6.1,6.3,6.2,6,5.8,5.1,4.9,4.7,4.5,5.1,4.3,3.2,3.2,2,2.3,2.7,2.5,2.6,3.4,3.2,3.9,3.3,2.6,2.9,3.2,3.4,2.7,2.9,2.7,2.6,2.4,1.7,1.5,1.3,1.1,1.7,0.9,0,0
"132",2,17926,"India","Uttar Pradesh","Lakhimpur Kheri",4696290,46.42,56.28,56.43,49.93,54.26,56.23,60.17,62.76,60.17,50.73,56.65,55.07,64.46,58.95,56.63,56.49,49.19,47.31,44.46,45.2,45.49,39.41,43.62,38.78,30.96,31.79,4.1,5,5,4.4,4.8,5,5.4,5.7,5.4,4.5,5.1,4.9,5.8,5.3,5.1,5,4.3,4.1,3.9,3.9,4,3.4,3.8,3.3,2.5,2.6,0.6,1.6,1.6,1,1.4,1.6,2,2.2,2,1.1,1.6,1.5,2.4,1.9,1.6,1.6,0.9,0.7,0.4,0.5,0.5,0,0.4,0,0,0
"133",2,17376,"India","Bihar","Lakhisarai",1257196,58.01,60.91,58.63,57.47,65.92,74.54,73.6,70.43,66.65,65.91,66.4,65.12,67.58,59.71,61.96,59.98,54.84,53.56,46.06,47.78,47.14,45.94,47.21,41.59,37.69,36.93,5.2,5.5,5.3,5.1,6,6.8,6.7,6.4,6,6,6,5.9,6.1,5.4,5.6,5.4,4.9,4.8,4,4.2,4.1,4,4.1,3.6,3.2,3.1,1.8,2,1.8,1.7,2.5,3.4,3.3,3,2.6,2.5,2.6,2.5,2.7,1.9,2.2,2,1.5,1.3,0.6,0.8,0.7,0.6,0.7,0.2,0,0
"134",2,17927,"India","Uttar Pradesh","Lalitpur",1418186,33.82,29.98,35.67,34.22,39.25,35.01,39.15,36.9,35.38,36.15,37.24,35.03,38.11,32.77,33.36,34.38,30.66,28.27,28.63,26.92,28.32,24.79,23.81,21.44,19.73,18.97,2.8,2.4,3,2.9,3.4,2.9,3.3,3.1,3,3.1,3.2,2.9,3.2,2.7,2.8,2.9,2.5,2.3,2.3,2.1,2.3,1.9,1.8,1.6,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",2,17530,"India","Jharkhand","Latehar",868464,32.77,33.05,37.32,35.95,38.41,34.86,37.42,40.27,38.15,35.18,37.28,35.09,38.02,31.63,34.1,38.19,32.86,28.33,27.32,28.36,28.52,27.2,25.51,23.31,18.18,16.73,2.7,2.7,3.2,3,3.3,2.9,3.2,3.5,3.2,3,3.2,2.9,3.2,2.6,2.9,3.3,2.7,2.3,2.2,2.3,2.3,2.2,2,1.8,1.3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",2,17531,"India","Jharkhand","Lohardaga",544156,34.31,33.05,38.46,36.7,38.38,34.48,36.79,37.87,37.63,33.82,37.11,35.04,38.65,31.08,34.59,37.47,32.6,27.59,28.42,29.22,29.55,28.36,26.57,24.28,17.3,15.84,2.9,2.7,3.3,3.1,3.3,2.9,3.1,3.2,3.2,2.8,3.1,2.9,3.3,2.6,2.9,3.2,2.7,2.2,2.3,2.4,2.4,2.3,2.1,1.9,1.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",2,17928,"India","Uttar Pradesh","Lucknow",5377728,59.36,62.98,63.33,61.59,70.76,68.89,74.26,79.86,67.77,57.57,67.3,62.16,69.91,61.55,61.72,68.7,56.52,52.61,51.94,57.39,56.26,50.4,51.02,46.6,39.46,42.96,5.3,5.7,5.7,5.5,6.4,6.3,6.8,7.3,6.2,5.2,6.1,5.6,6.4,5.5,5.6,6.2,5,4.7,4.6,5.1,5,4.4,4.5,4.1,3.4,3.7,1.9,2.3,2.3,2.1,3,2.8,3.4,3.9,2.7,1.7,2.7,2.2,2.9,2.1,2.1,2.8,1.6,1.2,1.2,1.7,1.6,1,1.1,0.6,0,0.3
"138",2,17759,"India","Punjab","Ludhiana",3921950,59.26,57.72,63.76,61.74,58.52,61.31,61.56,67.84,63,54.06,58.3,54.45,64.31,61.08,51.82,54.96,50.57,47.48,48.01,45.65,46.4,40.55,38.48,35.95,30.69,31.93,5.3,5.2,5.8,5.6,5.2,5.5,5.5,6.2,5.7,4.8,5.2,4.8,5.8,5.5,4.6,4.9,4.5,4.2,4.2,4,4.1,3.5,3.3,3,2.5,2.6,1.9,1.7,2.3,2.1,1.8,2.1,2.1,2.7,2.3,1.4,1.8,1.4,2.4,2.1,1.2,1.5,1,0.7,0.8,0.6,0.6,0.1,0,0,0,0
"139",2,17377,"India","Bihar","Madhepura",2411063,60.78,62.62,63.57,62.29,67,78.41,71.94,69.67,68.8,68.87,69.74,75.91,68.81,63.05,71.13,60.34,62.27,64.25,51.93,46.92,48.55,46.84,50.77,43.76,39.95,40.45,5.5,5.6,5.7,5.6,6.1,7.2,6.6,6.3,6.3,6.3,6.3,6.9,6.3,5.7,6.5,5.4,5.6,5.8,4.6,4.1,4.3,4.1,4.5,3.8,3.4,3.5,2,2.2,2.3,2.2,2.6,3.8,3.1,2.9,2.8,2.8,2.9,3.5,2.8,2.3,3.1,2,2.2,2.4,1.2,0.7,0.8,0.7,1.1,0.4,0,0
"140",2,17378,"India","Bihar","Madhubani",5417341,60.69,61.24,63.73,60.56,65.65,75.09,67.78,68.23,66.13,68.97,65.32,71.33,64.02,62.04,71.88,60.76,63.51,63.93,52.44,48.88,49.29,49.1,51.95,46.23,39.02,39.18,5.5,5.5,5.8,5.4,5.9,6.9,6.2,6.2,6,6.3,5.9,6.5,5.8,5.6,6.6,5.5,5.7,5.8,4.6,4.3,4.3,4.3,4.6,4,3.3,3.3,2,2.1,2.3,2,2.5,3.4,2.7,2.8,2.6,2.8,2.5,3.1,2.4,2.2,3.1,2,2.3,2.3,1.2,0.9,0.9,0.9,1.2,0.6,0,0
