Country,Annual average PM2.5 concentration (in µg/m³),Life Expectancy Gains from reducing PM2.5 from 2021 Concentrations to the WHO Guideline of 5 µg/m³ in the given country,Percent of population above WHO guideline,Region with highest PM2.5 concentration in 2021,Annual average PM2.5 concentration in most polluted region,Life Expectancy Gains from reducing PM2.5 from 2021 Concentrations to the WHO Guideline of 5 µg/m³ in the most polluted region
Albania,13.5,0.8,100,Kukësit,20.3,1.5
Andorra,7.6,0.3,100,NA,7.9,0.3
Armenia,19.5,1.4,100,NA,23.4,1.8
Austria,10.7,0.6,100,Graz Stadt,13.3,0.8
Azerbaijan,12.4,0.7,100,Sədərək,18.4,1.3
Belarus,12.8,0.8,100,Kamyanyets,15.1,1
Belgium,10.1,0.5,100,West-Vlaanderen,11.6,0.6
Bosnia and Herzegovina,23.7,1.8,100,Tuzla,30.6,2.5
Bulgaria,19,1.4,100,Asenovgrad,23.9,1.9
Croatia,14.9,1,100,Gunja,26.5,2.1
Cyprus,12.3,0.7,100,NA,12.7,0.8
Czechia,13.2,0.8,100,Karviná,21.2,1.6
Denmark,8.1,0.3,100,Lolland,9.1,0.4
Estonia,6.7,0.2,100,Mõniste,11.2,0.6
Finland,5.1,0,70.9,Eastern Uusimaa,5.7,0.1
France,9.2,0.4,100,Paris,12.7,0.8
Georgia,14.5,0.9,100,Marneuli,17.1,1.2
Germany,9.3,0.4,100,Berlin,11.7,0.7
Greece,11.8,0.7,100,East Macedonia and Thrace,15.4,1
Hungary,14.1,0.9,100,Makó,17.8,1.2
Iceland,4.1,0,0,Grindavík,4.7,0
Ireland,6.4,0.1,98.1,Dundalk,7.4,0.2
Italy,13,0.8,100,Milano,21.3,1.6
Kazakhstan,13.3,0.8,100,NA,NA,NA
Kosovo,20.8,1.5,100,Prizren,25.7,2
Latvia,14.1,0.9,100,Riga,16,1.1
Liechtenstein,11.1,0.6,100,NA,11.4,0.6
Lithuania,12.2,0.7,100,Joniškio,15.1,1
Luxembourg,8.6,0.4,100,Remich,9.1,0.4
Macedonia,22.9,1.8,100,NA,27.8,2.2
Malta,6.3,0.1,100,Xgħajra,6.8,0.2
Moldova,14.7,1,100,NA,16.2,1.1
Monaco,10.1,0.5,100,NA,10.1,0.5
Montenegro,17,1.2,100,NA,19.4,1.4
Netherlands,9.7,0.5,100,Sluis,11.3,0.6
Northern Cyprus,12.3,0.7,100,NA,13,0.8
Norway,5.6,0.1,65.9,NA,NA,NA
Poland,17.9,1.3,100,Kraków (City),26.5,2.1
Portugal,6.3,0.1,89.4,São João da Madeira,9.1,0.4
Romania,15,1,100,Timisoara,22.9,1.8
Russia,11.3,0.6,99.2,NA,NA,NA
San Marino,10.9,0.6,100,NA,11.4,0.6
Serbia,20.2,1.5,100,Pećinci,26,2.1
Slovakia,14.5,0.9,100,Námestovo,18.7,1.3
Slovenia,13.4,0.8,100,Celje,15,1
Spain,7.5,0.2,93.1,Ceuta,11.7,0.7
Svalbard and Jan Mayen,NA,NA,NA,NA,NA,NA
Sweden,5.5,0,65.2,Karlskrona,7.4,0.2
Switzerland,9.4,0.4,100,Mendrisio,13.1,0.8
Turkey,21.8,1.6,100,Akköy,33,2.7
Ukraine,14.6,0.9,100,NA,NA,NA
United Kingdom,8.7,0.4,99,Caerphilly,14.9,1
Vatican City,11.3,0.6,100,NA,11.3,0.6
