location,cause_of_death,est_le_diff_vs_actual_women,est_le_diff_vs_actual_men,est_le_diff_vs_actual_aggregate
nigeria,Child and maternal malnutrition,3.533,3.994,3.770971456
nigeria,Malaria,2.264,2.273,2.268645864
nigeria,"Unsafe water, sanitation, and handwashing",2.26,2.195,2.226446541
nigeria,Diarrheal diseases,1.928,1.853,1.88928447
nigeria,PM2.5 relative to WHO,0.806,0.89,1.83
nigeria,Low birth weight and short gestation,1.514,1.996,1.762811805
