name_1,tot_pop,avg_pm2.5_2021,le_gain,llpp_who_2021,lyl_bucket,order_lyl_bucket
Bagmati,6298825,41.740424304532986,3.6005615818442327,3.6018360106845324,3 to < 4,6
Madhesh,6265257,77.46453944187765,7.10152486530401,7.103944754381185,>= 6,9
Province 1,5212033,51.02722404673953,4.510667956580474,4.510596724924803,4 to < 5,7
Lumbini,5173884,54.870978725073854,4.887355915057238,4.887857304106547,4 to < 5,7
Sudurpaschim,2943744,40.00393288614771,3.4303854228424755,3.428658650344595,3 to < 4,6
Gandaki,2754644,37.578013416615725,3.1926453148283414,3.1931813257901926,3 to < 4,6
Karnali,1809034,30.775128184434344,2.525962562074566,2.525636925563588,2 to < 3,5
