country,name_1,name_2,city,pop_2011_city,other_info
India,Uttar Pradesh,Amroha,gajraula,"55,048","*Gajraula is a Nagar Panchayat city in district of Jyotiba Phule Nagar, Uttar Pradesh. I am not sure if this is the same as the city in Amroha district."
India,Uttar Pradesh,Ghaziabad,ghaziabad,1648643,
India,Uttar Pradesh,Gorakhpur,gorakhpur,673446,
India,Uttar Pradesh,Jhansi,jhansi,505693,
India,Uttar Pradesh,Kanpur Dehat,kanpur,2767031,
India,Uttar Pradesh,Bulandshahr,khurja,"111,062",
India,Uttar Pradesh,Lucknow,lucknow,2815601,
India,Uttar Pradesh,Moradabad,moradabad,887871,
India,Uttar Pradesh,Gautam Buddha Nagar,noida,637272,
India,Uttar Pradesh,Rae Bareli,raebareli,191316,
India,Uttar Pradesh,Varanasi,varanasi,1201815,
India,Uttarakhand,Dehradun,dehradun,569578,
India,Uttarakhand,Udham Singh Nagar,kashipur,"121,623",
India,Uttarakhand,Dehradun,rishikesh,"102,138",https://en.wikipedia.org/wiki/Rishikesh
India,West Bengal,Barddhaman,asansol,563917,"The CPCB NCAP list, lists this as Asansol and Raniganj. But, Raniganj is a neighbourhood in Asansol, so I am listing this as Asansol."
India,West Bengal,North 24 Parganas,barrackpore,"152,783",
India,West Bengal,Barddhaman,durgapur,566517,
India,West Bengal,Barddhaman,haldia,200827,
India,West Bengal,Howrah,howrah,1077075,
India,West Bengal,Kolkata,kolkata,4486679,
India,Gujarat,Rajkot,rajkot,"1,286,678",
India,Jharkhand,Purbi Singhbhum,jamshedpur,"631,364",
India,Jharkhand,Ranchi,ranchi,1073427,
India,Madhya Pradesh,Jabalpur,jabalpur,"1,055,525",
India,Maharashtra,Palghar,vasai-virar,1222390,
India,Tamil Nadu,Chennai,chennai,4646732,
India,Uttar Pradesh,Meerut,meerut,1305429,
India,Haryana,Faridabad,faridabad,"1,414,050",
