Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
New Delhi,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,245.7,295,Very Unhealthy,224.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,232.3,282,Very Unhealthy,219.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,216.7,267,Very Unhealthy,201.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,203.3,253,Very Unhealthy,190.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,201.6,252,Very Unhealthy,200.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,188.8,239,Very Unhealthy,176.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,188.5,239,Very Unhealthy,178.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,186.4,237,Very Unhealthy,183.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,185.8,236,Very Unhealthy,185.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,192.9,243,Very Unhealthy,205.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,199.3,249,Very Unhealthy,210.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,192.2,242,Very Unhealthy,179.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,162.0,212,Very Unhealthy,124.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,144.1,197,Unhealthy,120.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,110.8,180,Unhealthy,83.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,89.3,168,Unhealthy,68.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,72.1,160,Unhealthy,55.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,69.5,158,Unhealthy,67.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,88.2,168,Unhealthy,107.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,104.1,176,Unhealthy,120.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 09:00 PM,2017,01,01,21,111.0,180,Unhealthy,118.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 10:00 PM,2017,01,01,22,118.5,184,Unhealthy,126.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 11:00 PM,2017,01,01,23,124.2,186,Unhealthy,130.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 12:00 AM,2017,01,02,00,131.6,190,Unhealthy,139.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 01:00 AM,2017,01,02,01,173.3,224,Very Unhealthy,215.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 02:00 AM,2017,01,02,02,227.1,277,Very Unhealthy,281.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 03:00 AM,2017,01,02,03,245.6,295,Very Unhealthy,264.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 04:00 AM,2017,01,02,04,235.3,285,Very Unhealthy,225.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 05:00 AM,2017,01,02,05,218.1,268,Very Unhealthy,201.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 06:00 AM,2017,01,02,06,186.1,236,Very Unhealthy,154.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 07:00 AM,2017,01,02,07,180.0,230,Very Unhealthy,174.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 08:00 AM,2017,01,02,08,204.5,255,Very Unhealthy,229.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 09:00 AM,2017,01,02,09,240.7,290,Very Unhealthy,277.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 10:00 AM,2017,01,02,10,215.9,266,Very Unhealthy,191.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 11:00 AM,2017,01,02,11,178.9,229,Very Unhealthy,142.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 12:00 PM,2017,01,02,12,161.8,212,Very Unhealthy,144.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 01:00 PM,2017,01,02,13,131.2,190,Unhealthy,101.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 02:00 PM,2017,01,02,14,103.0,176,Unhealthy,75.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 03:00 PM,2017,01,02,15,87.0,167,Unhealthy,71.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 04:00 PM,2017,01,02,16,73.4,160,Unhealthy,60.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 05:00 PM,2017,01,02,17,64.2,155,Unhealthy,55.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 06:00 PM,2017,01,02,18,109.6,179,Unhealthy,155.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 07:00 PM,2017,01,02,19,157.3,208,Very Unhealthy,205.0,UG/M3,1 Hr,Valid
