name_1,avg_pm2.5_2020,gain_in_life_expectancy,tot_pop
West Java,21.86086370901658,1.652364643483625,48681468
East Java,16.517710357173087,1.1287356150029626,39023022
Central Java,17.60134843968052,1.2349321470886911,34299750
Sumatera Utara,25.093014597289628,1.9691154305343836,14383223
Banten,24.13041085021295,1.8747802633208692,12725753
Jakarta Raya,29.939777426946268,2.4440981878407344,10381564
Sulawesi Selatan,12.267821619391285,0.7122465187003459,8614478
Sumatera Selatan,13.697654621605071,0.852370152917297,8395575
Lampung,15.470136724330668,1.0260733989844055,8305222
Riau,10.145356022368873,0.5042448901921496,6786775
