name_1_country,tot_pop,avg_pm2.5_pop_weighted,gain_in_le
Lagos(Nigeria),20073405,20.433211470845976,1.5124547241429056
Kano(Nigeria),13084190,23.034747589088894,1.7674052637307118
Kinshasa(Democratic Republic of the Congo),11200671,37.417553,3.176920194
Luanda(Angola),8508283,17.581692151912673,1.233005830887442
Kaduna(Nigeria),8351350,30.901667399229584,2.538363405124499
Nord-Kivu(Democratic Republic of the Congo),8308725,33.99861103748048,2.841863881673087
Katsina(Nigeria),8013412,20.776089482876458,1.546056769321893
Oyo(Nigeria),7886845,18.66890268000791,1.3395524626407753
Rivers(Nigeria),7416845,30.496032197481004,2.4986111553531383
Bauchi(Nigeria),7089498,21.706404445096254,1.637227635619433
Kwilu(Democratic Republic of the Congo),6945551,43.220801576702264,3.7456385545168223
Sud-Kivu(Democratic Republic of the Congo),6681634,32.60494331231387,2.7052844446067597
Kongo-Central(Democratic Republic of the Congo),6635344,26.524684351525256,2.109419066449475
Borno(Nigeria),6498297,11.954047768466353,0.6814966813097026
Jigawa(Nigeria),5986169,20.176573444723328,1.4873041975828862
