name_1,avg_pm2.5_2020,gain_in_life_expectancy,tot_pop
Lagos,20.433211470845976,1.5124547241429056,20073405
Kano,23.034747589088894,1.7674052637307118,13084190
Kaduna,30.901667399229584,2.538363405124499,8351350
Katsina,20.776089482876458,1.546056769321893,8013412
Oyo,18.66890268000791,1.3395524626407753,7886845
Rivers,30.496032197481004,2.4986111553531383,7416845
Bauchi,21.706404445096254,1.637227635619433,7089498
Borno,11.954047768466353,0.6814966813097026,6498297
Jigawa,20.176573444723328,1.4873041975828862,5986169
Benue,28.249223712411386,2.278423923816316,5971961
